CATEGORY,NO,AREA_CD,AREA_NM,AREA_SEARCH,ENG_NM,,,,,,,,,,,,,,,,,,,
인구밀집지역,51,POI051,총신대입구(이수)역,이수역,Chongshin University(Isu) station,,,,,,,,,,,,,,,,,,,
인구밀집지역,52,POI052,충정로역,충정로역,Chungjeongno station,,,,,,,,,,,,,,,,,,,
인구밀집지역,53,POI053,합정역,합정역,Hapjeong station,,,,,,,,,,,,,,,,,,,
인구밀집지역,54,POI054,혜화역,혜화역,Hyehwa station,,,,,,,,,,,,,,,,,,,
인구밀집지역,55,POI055,홍대입구역(2호선),홍대입구역,Hongik University station(Line 2),,,,,,,,,,,,,,,,,,,
인구밀집지역,56,POI056,회기역,회기역,Hoegi station,,,,,,,,,,,,,,,,,,,
발달상권,57,POI057,4·19 카페거리,4.19카페거리,4·19 Cafe street,,,,,,,,,,,,,,,,,,,
발달상권,58,POI058,가락시장,가락시장,Garak Market,,,,,,,,,,,,,,,,,,,
발달상권,59,POI059,가로수길,가로수길,Garosu-gil,,,,,,,,,,,,,,,,,,,
발달상권,60,POI060,광장(전통)시장,광장시장,Gwangjang(Traditional) Market,,,,,,,,,,,,,,,,,,,
발달상권,61,POI061,김포공항,김포공항,Gimpo Airport,,,,,,,,,,,,,,,,,,,
발달상권,62,POI062,낙산공원·이화마을,낙산공원,Naksan Park·Ihwa Village,,,,,,,,,,,,,,,,,,,
발달상권,63,POI063,노량진,노량진,Noryangjin,,,,,,,,,,,,,,,,,,,
발달상권,64,POI064,덕수궁길·정동길,덕수궁길 정동길,Deoksugung-gil·Jeongdong-gil,,,,,,,,,,,,,,,,,,,
발달상권,65,POI065,방배역 먹자골목,방배역먹자골목,Bangbae food alley,,,,,,,,,,,,,,,,,,,
발달상권,66,POI066,북촌한옥마을,북촌한옥마을,Bukchon Hanok Village,,,,,,,,,,,,,,,,,,,
발달상권,67,POI067,서촌,서촌,Seochon,,,,,,,,,,,,,,,,,,,
발달상권,68,POI068,성수카페거리,성수카페거리,Seongsu Cafe Street,,,,,,,,,,,,,,,,,,,
발달상권,69,POI069,수유리 먹자골목,수유리먹자골목,Suyuri food alley,,,,,,,,,,,,,,,,,,,
발달상권,70,POI070,쌍문동 맛집거리,쌍문동맛집거리,Ssangmun-dong restaurant street,,,,,,,,,,,,,,,,,,,
발달상권,71,POI071,압구정로데오거리,압구정로데오거리,Apgujeong Rodeo Street,,,,,,,,,,,,,,,,,,,
발달상권,72,POI072,여의도,여의도,Yeouido,,,,,,,,,,,,,,,,,,,
발달상권,73,POI073,연남동,연남동,Yeonnam-dong,,,,,,,,,,,,,,,,,,,
발달상권,74,POI074,영등포 타임스퀘어,영등포타임스퀘어,Yeongdeungpo Time square,,,,,,,,,,,,,,,,,,,
발달상권,75,POI075,외대앞,외대앞,Hankuk University of Foreign Studies,,,,,,,,,,,,,,,,,,,
발달상권,76,POI076,용리단길,용리단길,Yongnidan-gil,,,,,,,,,,,,,,,,,,,
발달상권,77,POI077,이태원 앤틱가구거리,이태원,Itaewon Antiques street,,,,,,,,,,,,,,,,,,,
발달상권,78,POI078,인사동·익선동,익선동,Insa-dong·Ikseon-dong,,,,,,,,,,,,,,,,,,,
발달상권,79,POI079,창동 신경제 중심지,창동,Changdong New Economic Center,,,,,,,,,,,,,,,,,,,
발달상권,80,POI080,청담동 명품거리,청담동 명품거리,Cheongdam-dong Luxury Fashion street,,,,,,,,,,,,,,,,,,,
발달상권,81,POI081,청량리 제기동 일대 전통시장,청량리 전통시장,Traditional market in Cheongnyangni Jegi-dong ,,,,,,,,,,,,,,,,,,,
발달상권,82,POI082,해방촌·경리단길,해방촌,Haebangchon·Gyeongnidan-gil,,,,,,,,,,,,,,,,,,,
발달상권,83,POI083,DDP(동대문디자인플라자),DDP(동대문디자인플라자),DDP(Dongdaemun Design Plaza),,,,,,,,,,,,,,,,,,,
발달상권,84,POI084,DMC(디지털미디어시티),DMC(디지털미디어시티),DMC(Digital Media City),,,,,,,,,,,,,,,,,,,
공원,85,POI085,강서한강공원,강서한강공원,Gangseo Hangang Park,,,,,,,,,,,,,,,,,,,
공원,86,POI086,고척돔,고척돔,Gocheok Dome,,,,,,,,,,,,,,,,,,,
공원,87,POI087,광나루한강공원,광나루한강공원,Gwangnaru Hangang Park,,,,,,,,,,,,,,,,,,,
공원,88,POI088,광화문광장,광화문광장,Gwanghwamun Square,,,,,,,,,,,,,,,,,,,
공원,89,POI089,국립중앙박물관·용산가족공원,국립중앙박물관,The National Museum of Korea·Yongsan Family Park,,,,,,,,,,,,,,,,,,,
공원,90,POI090,난지한강공원,난지한강공원,Nanji Hangang Park,,,,,,,,,,,,,,,,,,,
공원,91,POI091,남산공원,남산공원,Namsan Park,,,,,,,,,,,,,,,,,,,
공원,92,POI092,노들섬,노들섬,Nodeul island,,,,,,,,,,,,,,,,,,,
공원,93,POI093,뚝섬한강공원,뚝섬한강공원,Ttukseom Hangang Park,,,,,,,,,,,,,,,,,,,
공원,94,POI094,망원한강공원,망원한강공원,Mangwon Hangang Park,,,,,,,,,,,,,,,,,,,
공원,95,POI095,반포한강공원,반포한강공원,Banpo Hangang Park,,,,,,,,,,,,,,,,,,,
공원,96,POI096,북서울꿈의숲,북서울꿈의숲,Dream Forest,,,,,,,,,,,,,,,,,,,
공원,97,POI097,불광천,불광천,Bulgwangcheon River,,,,,,,,,,,,,,,,,,,
공원,98,POI098,서리풀공원·몽마르뜨공원,서리풀공원,Seoripul Park·Montmartre Park,,,,,,,,,,,,,,,,,,,
공원,99,POI099,서울광장,서울광장,Seoul Plaza,,,,,,,,,,,,,,,,,,,
공원,100,POI100,서울대공원,서울대공원,Seoul Grand Park,,,,,,,,,,,,,,,,,,,
공원,101,POI101,서울숲공원,서울숲공원,Seoul Forest,,,,,,,,,,,,,,,,,,,
공원,102,POI102,아차산,아차산,Achasan,,,,,,,,,,,,,,,,,,,
공원,103,POI103,양화한강공원,양화한강공원,Yanghwa Hangang Park,,,,,,,,,,,,,,,,,,,
공원,104,POI104,어린이대공원,어린이대공원,Children's Grand Park,,,,,,,,,,,,,,,,,,,
공원,105,POI105,여의도한강공원,여의도한강공원,Yeouido Hangang Park,,,,,,,,,,,,,,,,,,,
공원,106,POI106,월드컵공원,월드컵공원,World Cup Park,,,,,,,,,,,,,,,,,,,
공원,107,POI107,응봉산,응봉산,Eungbongsan,,,,,,,,,,,,,,,,,,,
공원,108,POI108,이촌한강공원,이촌한강공원,Ichon Hangang Park,,,,,,,,,,,,,,,,,,,
공원,109,POI109,잠실종합운동장,잠실종합운동장,Jamsil (Seoul) Sports Complex,,,,,,,,,,,,,,,,,,,
공원,110,POI110,잠실한강공원,잠실한강공원,Jamsil Hangang Park,,,,,,,,,,,,,,,,,,,
공원,111,POI111,잠원한강공원,잠원한강공원,Jamwon Hangang Park,,,,,,,,,,,,,,,,,,,
공원,112,POI112,청계산,청계산,Cheonggyesan,,,,,,,,,,,,,,,,,,,
공원,113,POI113,청와대,청와대,Cheongwadae,,,,,,,,,,,,,,,,,,,
발달상권,114,POI114,북창동 먹자골목,북창동 먹자골목,Bukchang-dong food alley,,,,,,,,,,,,,,,,,,,
발달상권,115,POI115,남대문시장,남대문시장,Namdaemun Market,,,,,,,,,,,,,,,,,,,
